name,year,nominations,rating,release
 Birdman,2014,9,7.8,November
 Gravity,2013,10,7.9,October
 Life of Pi,2012,11,8.0,November
 The Artist,2011,10,8.0,October
 The King's Speech,2010,12,8.0,December
 The Hurt Locker,2009,9,7.6,July
 Slumdog Millionaire,2008,10,8.0,January
 No Country for Old Men,2007,8,8.1,November
 The Departed,2006,5,8.5,October
 Brokeback Mountain,2005,8,7.7,January
 Million Dollar Baby,2004,7,8.1,January
 The Lord of the Rings: The Return of the King,2003,11,8.9,December
 The Pianist,2002,7,8.5,January
 A Beautiful Mind,2001,8,8.2,January
 Traffic,2000,5,7.6,January
 American Beauty,1999,8,8.4,October
 Saving Private Ryan,1998,11,8.6,July
 Titanic,1997,14,7.7,December
 The English Patient,1996,12,7.4,November
 Braveheart,1995,10,8.4,May
 Forrest Gump,1994,13,8.8,July
 Schindler's List,1993,12,8.9,December
 Unforgiven,1992,10,8.3,August
 The Silence of the Lambs,1991,7,8.6,February
 Dances with Wolves,1990,12,8.0,November
 Born on the Fourth of July,1989,8,7.2,January
 Rain Man,1988,8,8.0,December
 The Last Emperor,1987,9,7.8,October
 Platoon,1986,8,8.1,February
Out of Africa,1985,11,7.2,December
 Amadeus,1984,11,8.3,October
 Terms of Endearment,1983,11,7.4,December
 Gandhi,1982,11,8.1,December
 Reds,1981,12,7.5,December
 Ordinary People,1980,6,7.8,February
 Kramer vs. Kramer,1979,9,7.8,December
 The Deer Hunter,1978,9,8.2,February
 Annie Hall,1977,5,8.1,April
 Rocky,1976,10,8.1,December
 One Flew Over the Cuckoo's Nest,1975,9,8.7,November
 The Godfather: Part II,1974,11,9.0,December
 The Sting,1973,10,8.3,December
 Cabaret,1972,10,7.9,February
 The French Connection,1971,8,7.8,October
 Patton,1970,10,8.0,April
 Midnight Cowboy,1969,7,7.9,June
 Oliver!,1968,11,7.5,September
The Graduate,1967,7,8.0,December
 A Man for All Seasons,1966,8,7.9,May
 The Sound of Music,1965,10,8.0,March
 My Fair Lady,1964,12,7.9,December
Tom Jones,1963,10,6.8,December
 Lawrence of Arabia,1962,10,8.4,January
West Side Story,1961,11,7.6,December
 The Apartment,1960,10,8.3,September
 Ben-Hur,1959,12,8.1,December
 Gigi,1958,9,6.9,August
 The Bridge on the River Kwai,1957,8,8.2,October
 Giant,1956,10,7.7,November
 Marty,1955,8,7.7,June
 On the Waterfront,1954,12,8.3,June
 From Here to Eternity,1953,13,7.8,October
 The Quiet Man,1952,7,7.9,September
 A Place in the Sun,1951,9,7.8,October
 All About Eve,1950,14,8.3,January
 A Letter to Three Wives,1949,3,7.9,January
 The Treasure of the Sierra Madre,1948,4,8.3,January
 Gentleman's Agreement,1947,8,7.4,February
 The Best Years of Our Lives,1946,8,8.2,June
 The Lost Weekend,1945,7,8.0,November
 Going My Way,1944,10,7.3,October
 Casablanca,1943,8,8.6,January
 Mrs. Miniver,1942,12,7.6,December
 How Green Was My Valley,1941,10,7.8,April
 The Grapes of Wrath,1940,7,8.1,March
 Gone With the Wind,1939,13,8.2,January
 You Can't Take it With You,1938,7,8.0,November
 The Awful Truth,1937,6,8.0,October
 Mr. Deeds Goes to Town,1936,5,8.0,April
 The Informer,1935,6,7.6,July
 It Happened One Night,1934,5,8.2,February
 Cavalcade,1933,4,6.1,April
 Bad Girl,1931,3,6.7,August
 Skippy,1930,4,6.3,April
 All Quiet on the Western Front,1929,4,8.1,August
 The Divine Lady,1928,3,6.3,
